id;name;geoid;geoname;value;datetime
10027;Demanda programada P48 total;;;30416.175;2023-01-10T14:00:00+01:00
10027;Demanda programada P48 total;;;29786.7;2023-01-10T15:00:00+01:00
10027;Demanda programada P48 total;;;29754.625;2023-01-10T16:00:00+01:00
10027;Demanda programada P48 total;;;30687.675;2023-01-10T17:00:00+01:00
10027;Demanda programada P48 total;;;32131.1;2023-01-10T18:00:00+01:00
10027;Demanda programada P48 total;;;33683.15;2023-01-10T19:00:00+01:00
10027;Demanda programada P48 total;;;34046.9;2023-01-10T20:00:00+01:00
10027;Demanda programada P48 total;;;32968.4;2023-01-10T21:00:00+01:00
10027;Demanda programada P48 total;;;29819.5;2023-01-10T22:00:00+01:00
10027;Demanda programada P48 total;;;27021.9;2023-01-10T23:00:00+01:00
10027;Demanda programada P48 total;;;25018.25;2023-01-11T00:00:00+01:00
10027;Demanda programada P48 total;;;23329.7;2023-01-11T01:00:00+01:00
10027;Demanda programada P48 total;;;22462.85;2023-01-11T02:00:00+01:00
10027;Demanda programada P48 total;;;22037.2;2023-01-11T03:00:00+01:00
10027;Demanda programada P48 total;;;21902.95;2023-01-11T04:00:00+01:00
10027;Demanda programada P48 total;;;22687.05;2023-01-11T05:00:00+01:00
10027;Demanda programada P48 total;;;25549.866;2023-01-11T06:00:00+01:00
10027;Demanda programada P48 total;;;30117.833;2023-01-11T07:00:00+01:00
10027;Demanda programada P48 total;;;32268.2;2023-01-11T08:00:00+01:00
10027;Demanda programada P48 total;;;32479.7;2023-01-11T09:00:00+01:00
10027;Demanda programada P48 total;;;32508.8;2023-01-11T10:00:00+01:00
10027;Demanda programada P48 total;;;32017;2023-01-11T11:00:00+01:00
10027;Demanda programada P48 total;;;31872.6;2023-01-11T12:00:00+01:00
10027;Demanda programada P48 total;;;31950.8;2023-01-11T13:00:00+01:00
10027;Demanda programada P48 total;;;31517.45;2023-01-11T14:00:00+01:00
10027;Demanda programada P48 total;;;31320.533;2023-01-11T15:00:00+01:00
10027;Demanda programada P48 total;;;30704.7;2023-01-11T16:00:00+01:00
10027;Demanda programada P48 total;;;31675.95;2023-01-11T17:00:00+01:00
10027;Demanda programada P48 total;;;32647.4;2023-01-11T18:00:00+01:00
10027;Demanda programada P48 total;;;33653.072;2023-01-11T19:00:00+01:00
10027;Demanda programada P48 total;;;33826.325;2023-01-11T20:00:00+01:00
10027;Demanda programada P48 total;;;32958.675;2023-01-11T21:00:00+01:00
10027;Demanda programada P48 total;;;29828.9;2023-01-11T22:00:00+01:00
10027;Demanda programada P48 total;;;26843.25;2023-01-11T23:00:00+01:00
10027;Demanda programada P48 total;;;25105;2023-01-12T00:00:00+01:00
10027;Demanda programada P48 total;;;23631.2;2023-01-12T01:00:00+01:00
10027;Demanda programada P48 total;;;22648.9;2023-01-12T02:00:00+01:00
10027;Demanda programada P48 total;;;22136.6;2023-01-12T03:00:00+01:00
10027;Demanda programada P48 total;;;22213.7;2023-01-12T04:00:00+01:00
10027;Demanda programada P48 total;;;22964.5;2023-01-12T05:00:00+01:00
10027;Demanda programada P48 total;;;25926;2023-01-12T06:00:00+01:00
10027;Demanda programada P48 total;;;30449.707;2023-01-12T07:00:00+01:00
10027;Demanda programada P48 total;;;32537.5;2023-01-12T08:00:00+01:00
10027;Demanda programada P48 total;;;32861.425;2023-01-12T09:00:00+01:00
10027;Demanda programada P48 total;;;32344.5;2023-01-12T10:00:00+01:00
10027;Demanda programada P48 total;;;31862;2023-01-12T11:00:00+01:00
10027;Demanda programada P48 total;;;31255.6;2023-01-12T12:00:00+01:00
10027;Demanda programada P48 total;;;31121.7;2023-01-12T13:00:00+01:00
10027;Demanda programada P48 total;;;30392.4;2023-01-12T14:00:00+01:00
10027;Demanda programada P48 total;;;30000.475;2023-01-12T15:00:00+01:00
10027;Demanda programada P48 total;;;30212.45;2023-01-12T16:00:00+01:00
10027;Demanda programada P48 total;;;31210.842;2023-01-12T17:00:00+01:00
10027;Demanda programada P48 total;;;33209.467;2023-01-12T18:00:00+01:00
10027;Demanda programada P48 total;;;34068.9;2023-01-12T19:00:00+01:00
10027;Demanda programada P48 total;;;34719.4;2023-01-12T20:00:00+01:00
10027;Demanda programada P48 total;;;33385.85;2023-01-12T21:00:00+01:00
10027;Demanda programada P48 total;;;29990.65;2023-01-12T22:00:00+01:00
10027;Demanda programada P48 total;;;27110.617;2023-01-12T23:00:00+01:00
10027;Demanda programada P48 total;;;25550.95;2023-01-13T00:00:00+01:00
10027;Demanda programada P48 total;;;23974.55;2023-01-13T01:00:00+01:00
10027;Demanda programada P48 total;;;22735.433;2023-01-13T02:00:00+01:00
10027;Demanda programada P48 total;;;22203.45;2023-01-13T03:00:00+01:00
10027;Demanda programada P48 total;;;22243.05;2023-01-13T04:00:00+01:00
10027;Demanda programada P48 total;;;23269.983;2023-01-13T05:00:00+01:00
10027;Demanda programada P48 total;;;26407.1;2023-01-13T06:00:00+01:00
10027;Demanda programada P48 total;;;30600.3;2023-01-13T07:00:00+01:00
10027;Demanda programada P48 total;;;32754.5;2023-01-13T08:00:00+01:00
10027;Demanda programada P48 total;;;32755.6;2023-01-13T09:00:00+01:00
10027;Demanda programada P48 total;;;32892.2;2023-01-13T10:00:00+01:00
10027;Demanda programada P48 total;;;32427.4;2023-01-13T11:00:00+01:00
10027;Demanda programada P48 total;;;31767.3;2023-01-13T12:00:00+01:00
10027;Demanda programada P48 total;;;31435.025;2023-01-13T13:00:00+01:00
10027;Demanda programada P48 total;;;30420.2;2023-01-13T14:00:00+01:00
10027;Demanda programada P48 total;;;29756.6;2023-01-13T15:00:00+01:00
10027;Demanda programada P48 total;;;29505.8;2023-01-13T16:00:00+01:00
10027;Demanda programada P48 total;;;30398.45;2023-01-13T17:00:00+01:00
10027;Demanda programada P48 total;;;32260.1;2023-01-13T18:00:00+01:00
10027;Demanda programada P48 total;;;33178.4;2023-01-13T19:00:00+01:00
10027;Demanda programada P48 total;;;33462.987;2023-01-13T20:00:00+01:00
10027;Demanda programada P48 total;;;32297.8;2023-01-13T21:00:00+01:00
10027;Demanda programada P48 total;;;29997.8;2023-01-13T22:00:00+01:00
10027;Demanda programada P48 total;;;27596.383;2023-01-13T23:00:00+01:00
10027;Demanda programada P48 total;;;26009.6;2023-01-14T00:00:00+01:00
10027;Demanda programada P48 total;;;24318.175;2023-01-14T01:00:00+01:00
